Metabolite,VIP
Ornithine,0.038961808626531334
Glycine,0.09366309644523901
Serine,0.16993049424794995
Citrate,0.21220706642104603
S-adenosyl-L-homocysteine,0.25271872698946884
Thymidine,0.2563091673777541
Arginine,0.2673505483999135
3-Phosphoglycerate,0.2840314185235469
Glycerol-3-phosphate,0.33922518383290884
a-ketoglutarate,0.34345734998474925
Hypoxanthine,0.40482060862398117
Hypotaurine,0.4055358445959435
Isocitrate,0.42298806872254346
Uracil,0.45000826230535085
N-carbomoyl-L-aspartate,0.4781370815590501
Adenine,0.4938988999671799
AMP,0.5018230897899235
Lactate,0.5437146831045586
Uric acid,0.5475052519159511
Malate,0.5555539733593505
Inosine,0.5574713882964533
Thiamine,0.5590338550107556
CDP-Choline,0.5709353187094176
Guanine,0.5749387364275392
Succinate,0.5802174299922958
5-Hydroxylysine,0.5829410059674269
Methionine sulfoxide,0.6250537689838662
Fructose-6-phosphate,0.6501777179663976
FAD,0.6637133550083575
Phenylalanine,0.6854219252260608
UDP-N-acetyl-glucosamine,0.7211845481402362
UDP-D-Glucose,0.7227902853686217
Creatinine,0.741079901596994
NG-dimethyl-L-arginine,0.7430229364911833
Dihydroxyacetone phosphate,0.749179373538778
Tryptophan,0.7550000898367176
Glutamine,0.7576919941370297
2-Hydroxyglutarate,0.7718080186246437
Pyruvate,0.7750137571778405
Glycerophosphocholine,0.7773526520130186
Montiporic Acid D,0.7882684753315032
Uridine,0.8054033159655513
GMP,0.8091114137836376
Montiporic Acid B,0.8200202538032557
Guanosine,0.8226900603154623
Tyrosine,0.8366589117736587
Glucose-6-phosphate,0.8439942979843889
Mannose-6-phosphate,0.8441222806402466
Glutathione disulfide,0.8599444186618634
L-arginino-succinate,0.8654338262052376
Threonine,0.8668183113955891
Pantothenate,0.8742955000512609
Hydroxyproline,0.9173360960460744
Sorbitol,0.9249312465527942
Ribitol,0.9358904347774333
Phenyllactic acid,0.9360973678601516
CMP,0.9912664916367738
Montiporic Acid A,1.0406127616453174
Carbamoyl phosphate,1.0407674324317622
ADP-D-Glucose,1.0692475543648938
Montiporic Acid C,1.0752946157828698
Taurine,1.0771610169467356
Homoarginine,1.0937957921243087
Proline,1.0962296776601654
Aconitate,1.109873950439788
Glycerate,1.139553166975438
N-Acetylaspartate,1.1441940552051009
Thymine,1.1457386192164594
N-Acetylputrescine,1.1797459136892325
Glutamate,1.2155335914692313
Glucose,1.219721502840723
Adenosine,1.230149184351234
Alanine,1.3094529479743555
UMP,1.3172683258387716
Lysine,1.3430607920241346
Ribose phosphate,1.3853521037662218
Asparagine,1.397862541160118
Leucine,1.5205085130296954
Aspartate,1.5304365910107438
Theanine,1.5650884855165357
Valine,1.635886728315451
Phosphocholine,1.6536594064712895
Xylose-5-phosphate,1.6672823100871261
Citrulline,1.683628102862484
NAD+,1.7268942065680992
Isoleucine,1.7307212134578656
Arginine-Glutamine,1.7336940867345525
N-acetyl-glutamate,1.742971726869594
NADP+,1.7610956027897953
Inositol,1.8636466614923424
