Temperature,Treatment,Stage,N,Mean_R,SE_R,Mean_P,SE_P,Mean_GP,SE_GP,Mean_PR,SE_PR
27,Ambient,Stage1,6,-0.024875988586177657,0.019687878360975755,-0.04109699008417515,0.013747003986415863,-0.016221001497997434,0.026256945631996965,4.212033848160618,1.696375957145369
27,Ambient,Stage2,5,-0.03337933272943768,0.013188244496729657,0.02191822553097385,0.00680375276731576,0.05529755826041151,0.019489559275875912,1.3788061601203632,0.3298986300757593
27,Ambient,Stage3,6,-0.022785863973013912,0.01377392790311815,0.0040407129224633385,0.01887555251529477,0.026826576895477204,0.03181237860292801,1.970780481613911,0.3952973208664749
27,High,Stage1,9,-0.05627793562234645,0.02000476657552587,0.005147926241363346,0.01606393210883571,0.06142586186370965,0.026728010068142658,2.8663893274998844,1.4027677662090694
27,High,Stage2,6,-0.09217097675912722,0.007083982014352663,0.04937212096335383,0.01691881962834423,0.14154309772248094,0.018914700519402926,1.5415417127667597,0.173050473691892
31,Ambient,Stage1,6,-0.04029866480496208,0.01573254503813722,0.010141436989908248,0.010219297533195957,0.050440101794870316,0.02136735833692541,1.8526501161526587,0.70878372518082855
31,Ambient,Stage2,6,-0.07484800937936754,0.013097191004703305,0.061291826099287135,0.015521899122254058,0.1361398354786549,0.0266264955534331,1.7292315779428196,0.23147570205730753
31,Ambient,Stage3,6,-0.05968923585077847,0.006490025057044673,-8.088278455466336e-4,0.011635683597568695,0.058880408005231866,0.016520056560512468,1.0528281295511375,0.14934462041242852
31,High,Stage1,10,-0.03798941939476018,0.015226147537177779,0.03701879897538456,0.012701092782958948,0.07500821837014487,0.016322418736052745,2.692004015909655,0.5368795953847474
31,High,Stage2,6,-0.035159479110438555,0.01252923821776589,0.031210728299180493,0.008713520714311836,0.06637020740961908,0.01489788999309283,2.869204459466355,0.9797806057049245
